name,address,update,wage,degree,company,company_info,tag,detail
算法工程师（2021届）,北京·朝阳区·定福庄,发布于02月27日,30-50K·16薪,在校/应届本科,好大夫在线,移动互联网D轮及以上500-999人,深度学习算法 自然语言处理 机器学习算法 C++,"工作职责：
1、用机器学习、文本挖掘等技术，对结构化和非结构化数据进行挖掘，发现其潜在关系，指导医疗大数据应用落地；
2、构建通用的分布式环境下机器学习系统，快速支持算法应用；
3、参与文本意图分析，包括文本分类和聚类，拼写纠错，实体识别与消歧，中心词提取，短文本理解等；
4、探索医疗AI领域。
任职资格：
1、计算机/通信等相关专业，统招博士学历，有较好的理论基础和快速的学习能力；
2、熟练掌握TensorFlow，pyTorch，Caffe，HTS等社区开源工具中的一种及以上；
3、对常用的机器学习/深度学习算法有深入理解，例如：LR/GMM/SVM/CRF/MaxEnt/HMM/NN 等；
4、熟悉 linux 开发环境，掌握至少一门编程语言，如 C++、Python等；
5、有NLP或图像领域的工作或研究经验，搭建过实际线上系统者优先；
6、表达能力强，乐观向上，自我驱动力强，具备敏锐的洞察力和良好的抗压能力。
职位招聘1-10人"
图像算法实习生,北京·海淀区·中关村,发布于04月05日,200-250元/天,5天/周2个月本科,好未来,互联网已上市10000人以上,视觉图像算法 深度学习算法 C++ Python,"岗位职责：
1.参与图像OCR相关算法的研究、改进和应用；包括但不局限于文字检测、识别，图像分类等。
2.参与移动端图像算法的研发和部署。
任职要求：
1.计算机图像、视觉专业，硕士以上学历；
2.熟悉TensorFlow、caffe、pytorch等主流开发框架；
3.熟悉C++、Python等编程经验；"
自然语言处理(实习),北京·朝阳区·来广营,发布于03月16日,150-180元/天,4天/周3个月本科,雪球公司,互联网金融D轮及以上500-999人,深度学习算法 自动问答 知识图谱 实体识别,"岗位职责：
1、参与雪球社区基础数据挖掘核心技术研究和研发；
2、为雪球推荐提供文本特征和算法支持；
3、构建股票财经知识库，挖掘领域内部的实体关系；
4、探索研究NLP/推荐算法在财经领域的应用，如财经事件抽取、市场情绪分析等。
任职要求：
1.精通自然语言处理相关领域的知识与技能，熟悉常见的机器学习算法 ；
2.对自然语言处理相关的实体识别、句法分析、情感分析和观点抽取、语义分析等有相关的实践经验；
3.熟悉Java，Python，C++等一种或一种以上编程语言；
4.较好的主动性和分享精神，良好的沟通和协作能力。"
算法研究实习生,北京·海淀区·北太平庄,发布于03月10日,200-250元/天,4天/周3个月本科,寒武纪,电子/半导体/集成电路已上市1000-9999人,深度学习算法 自然语言处理 机器学习算法 人工智能,"如果说AI算法是机器学习的未来，AI处理器是体系结构的未来，那寒武纪算法研究员则是这两个未来之间的纽带。经过多年发展，AI算法已经从注重精度的理论研究过渡到注重性能的产业化落地阶段，我们看到不适合硬件高效运行的AI算法已经在逐步被市场淘汰。在寒武纪你可以成为最懂体系结构的算法研究员，也可以成为最懂算法的体系结构研究员。在AI算法这样一个竞争激烈的领域，拥有系统的体系结构知识，将是你最终胜出的不二法宝。
⭐ 工作地点：北京市（非远程）
⭐ 薪资：200-300元/天 提供租房补贴
⭐ 提供转正机会
工作职责:
结合智能处理器硬件特性，设计、实现及部署图像、视频、自然语言等领域人工智能算法。
要求:
1、本科及以上学历在校生，有良好的编程基础；
2、了解机器学习算法，了解各种开源深度学习框架；
3、有计算机体系结构知识者优先；
4、可至少实习3个月以上，每周实习3天以上。可尽快到岗者优先。"
nlp算法实习生,北京·海淀区·马连洼,发布于昨天,200-300元/天,5天/周3个月本科,地平线,互联网C轮1000-9999人,自动问答,"岗位职责：
1. 参与自然语言理解、对话相关系统的实现；
2. 参与文本数据优化或模型优化，提升线上系统性能。
岗位需求：
1. 本科及以上学历；熟悉电脑和常用软件的使用。
2. 了解NLP的基本原理，有NLP项目经历；
3. 对NLP的领域、意图、槽位等概念有深刻的理解，能够根据句式编写相应的语法规则。"
风险分析师,北京·海淀区·中关村,发布于03月08日,10-11K,在校/应届本科,货拉拉科技,互联网D轮及以上1000-9999人,风控建模 SQL 数据挖掘,"工作职责：
1. 了解一类业务安全风险（大资损、盗号盗刷、支付违规等），配合团队制定有效的综合打法
2. 协助建立模型，挖掘风险场景特征，并对模型效果进行校验
3. 协助安全BP进行风险评估，对业务方案进行可行性判断
4. 前瞻性地认知行业发展趋势，应用新技术、新方法打击新问题
任职资格：
1. 专业不限，风险分析、风险管理相关专业优先
2. 熟练使用SQL、Hive等，熟悉Groovy或Lua
3. 良好的数据敏感度，具备一定的商业分析能力
4. 优秀的逻辑思考能力、学习能力、沟通能力和总结能力
特别说明：
仅对在校生开放，实习优秀者可以转正
职位招聘1人"
算法实习生,北京·海淀区·北太平庄,发布于03月25日,200-250元/天,3天/周3个月本科,欢聚集团,移动互联网已上市1000-9999人,深度学习算法 机器学习算法 TensorFlow PyTorch,"## 岗位职责:
1. 在 Leader 的指导下，完成相关的论文调研和重现工作
2. 在 Leader 的指导下，对现有的模型进行调优和部署的工作
3. NLP 训练数据的抓取、清洗、预处理等工作
## 任职条件:
1. 计算机相关专业硕士以上在校学生，机器学习方向的优先。
2. 扎实的数理基础和计算机软件开发基础，具备基础的算法、编程语言、 操作系统、计算机网络相关知识。
3. 熟练使用 tensorflow，pytorch 等框架的开发，有过超参数调试经验 的。
4. 独立分析问题和解决问题的能力、良好的团队合作精神。
5. 在实验室对 NLP 领域的4大任务类型(分类、序列标注、文本匹配、文 本生成)有实际项目经验的优先。"
算法工程师,北京·海淀区·北沙滩,发布于昨天,12-24K,在校/应届本科,中科创达软件,计算机软件已上市1000-9999人,人工智能 深度学习算法 视觉图像算法,"职位描述：
1.参与公司最前沿技术的预研，
2.进行算法原型的开发，负责设计，编码实现，调试，评估以及优化计算机视觉相关算法；
3.负责交付高效运行，且高可靠性的算法方案，完成最牛气的产品从需求到落地的全过程
职位要求：
1.统招本科及以上学历，理工科专业
2.热爱编程，熟练掌握C/C++编程语言，熟悉Python者优先考虑
3.有很强的数学及逻辑思维能力
4.研究背景来自人工智能，模式识别，进化计算，数字图像处理，计算机图形学，建模与优化理论等方向
职位招聘12人"
nlp工程师,北京·海淀区·西三旗,发布于03月11日,15-25K,在校/应届本科,百分点集团,计算机服务D轮及以上500-999人,深度学习算法 情感分析 实体识别,"工作职责:
1、针对海量文本内容，结合深度学习等前沿技术进行实体识别、情感分析、自动分类、智能校对等各种文本挖掘算法的研发工作
2、为公司产品加入文本挖掘功能，在实际场景中有效运用成熟的文本挖掘算法，将文本挖掘技术产品化
3、参与项目中文本分析工作的具体实现，按时保质完成项目任务
任职资格:
1. 本科及以上学历，计算机和数学等相关专业
2. 精通python语言
3. 了解BERT及其变体等深度模型原理。
4. 了解NLP前沿领域技术，能够快速读懂英文论文，对论文中算法能够复现。
5. 有参与过项目开发或NLP算法比赛者优先
职位招聘2-4人"
自然语言处理算法实习工程师,北京·海淀区·西北旺,发布于03月24日,200-250元/天,4天/周3个月本科,百度在线,互联网已上市10000人以上,深度学习算法 Python C++ 机器学习算法,"参与搜索核心策略工作，基于海量网页数据，理解页面质量特征和结构特征
-具体方向包括不限于：
1）页面分析：以通用技术，从千亿量级网页中提取有价值的信息，对网页进行充分的结构理解；
2）语义质量：对网页进行语义质量建模，建设优质、低质识别能力，提升搜索体验；
职位要求：
-能够保持连续3个月以上的实习周期，工作日每周4-5天
-熟悉自然语言处理、机器学习、模式识别等常用算法，对自然语言处理方向有深入实践、对搜索业务有经验者优先
-熟练掌握C/C++/Python等语言，熟悉常用数据结构及算法
-具备良好的学习能力，能够跟进领域内最新技术研究成果，并结合应用场景快速实验和调优
-优秀的分析问题和解决问题的能力，对解决具有挑战性问题充满激情
-具备良好的团队合作精神和沟通意识"
CV算法实习生,北京·朝阳区·亚运村,发布于03月25日,250-350元/天,4天/周3个月本科,小红书,互联网D轮及以上1000-9999人,视觉图像算法 CV算法,"岗位要求：
1. 负责CV算法的设计、优化、研发，包括：图像分类、检测、人脸、OCR、美学/质量评估 etc.
2. 本科以上学历，计算机、电子、自动化优先
3. 解决问题能力强，良好的英文读写能力
4. 一周四天，连续实习3个月以上，可快速到岗"
推荐算法实习生,北京,发布于02月26日,200-210元/天,4天/周3个月本科,奇虎360,互联网已上市1000-9999人,深度学习算法 机器学习算法 GBDT,"1. 计算机，统计学，数学，通信相关专业
2. 对机器学习有浓厚的兴趣，
3. 对推荐业务有一定了解，使用过至少一个推荐产品
4. 对传统机器学习算法有一定了解，LR，GBDT，Kmeans等至少精通一种
5. 对前沿机器学习算法有浓厚的兴趣，有一定的深度学习框架使用者优先"
语音实习生,北京·海淀区·西直门,发布于04月08日,200-400元/天,4天/周3个月本科,出门问问,智能硬件D轮及以上500-999人,深度学习算法 语音算法 机器学习算法 C++,"岗位职责：
1. 参与/负责语音识别系统的维护与更新，根据具体的应用效果不断改进模型或算法
2. 参与/负责数据的获取、处理以及生成，用于具体应用的优化与更新
3. 参与To B项目，根据具体的项目提供相应算法或模型解决方案
4. 参与/配合算法组其他人跟踪业界新研究成果，并应用到实际项目中
5. 参与/配合实现相关AI平台的开发
任职要求：
1. 全日制（本科|硕士）及以上学历，计算机、通信等相关专业
2. 熟练使用C/C++或者Python编程语言
3. 熟悉常用的数据结构与算法，以及计算机体系结构相关知识
4. 掌握基本的机器学习知识，对统计模型有比较清晰的理解
5. 认真仔细，有较强的实践和解决问题的能力"
推荐算法工程师（技术平台）,北京,发布于03月16日,15-30K·14薪,在校/应届本科,一起教育科技,互联网已上市10000人以上,深度学习算法 算法设计 机器学习算法 Python,"工作内容：
1、负责业务推荐的开发和实现，优化推荐模型和策略；
2、根据海量用户行为的分析和挖掘，建立用户行为模型、提升用户体验；
3、通过机器学习、深度学习等相关算法来优化作业推荐业务各个环节模型，提升推荐效果；
4、追踪算法前沿技术，探索将新技术应用于实际业务。
岗位要求：
1、计算机相关专业，研究生及以上学历，国内外top名校优先；
2、熟悉 Linux 平台，熟悉 JAVA和Python ，有 Hadoop、Spark、Hive 等实践经验；
3、对常用机器学习算法有较强理论认识和一定的实践经验；
4、工作积极主动，具备良好的团队合作精神，较强的沟通和解决问题的能力；
5、期望通过AI技术改善现有教学系统，对参与中国教育的改进具有强烈的意愿优先。
职位招聘1-5人"
数据标注实习生,北京,发布于03月17日,150-300元/天,5天/周2个月本科,爱奇艺智能,智能硬件已上市1000-9999人,视觉图像算法 人工智能,"负责AI算法组数据标注相关内容，对图像进行标注及归纳整理
职位描述：
1.负责对项目中目标检测、图像分割等AI算法所需图像进行标注；
2.充分理解项目规则，保证标注数据的产出质量；
3.服从项目领导安排，保证标注数据的产出数量；
4.善于发现标注过程中存在的问题，并及时反馈，为AI项目做好数据支持。
职位要求：
1.本科及以上学历，熟悉常用图像标注软件；
2.良好的沟通理解能力，工作认真细致，能适应重复或者繁琐的数据标注工作；"
2021校招-算法工程师,北京·海淀区·西直门,发布于04月07日,12-24K·15薪,在校/应届本科,北京掌上先机,互联网C轮1000-9999人,C++ Python 分布式技术 Java C#,"工作职责：
1、根据公司的研发流程，负责业务系统核心模块的设计和开发工作；
2、承担部分新技术试验和研究，并应用到公司产品中；
3、解决开发中遇到的实际问题。
任职资格：
1、统招本科以上学历，参加过计算机领域相关的编程大赛（如 “蓝桥杯”、“ACM”、数学建模大赛）、在专业期刊发表文章或者有发明专利等优先考虑；
2、有扎实的数据结构和算法功底，需熟悉机器学习、数据挖掘、分布式计算中的一项或多项；
3、熟练使用至少一门脚本语言，如JAVA、C、C++、python等。
职位招聘15-40人"
初级引擎程序工程师,北京·朝阳区·望京,发布于03月03日,15-20K·14薪,在校/应届本科,云畅游戏,游戏已上市500-999人,C++ OpenGL Shader 游戏,"工作职责：
1、游戏中Shader的开发与效果优化
2、针对移动平台图形性能优化
3、各种3D软件的插件开发
4、各种图形算法与视觉效果的研究与实现
任职要求：
1、大学本科及以上学历, 计算机或者数学类相关专业优先；
2、具有良好的团队合作精神，积极主动，有较强的学习能力；
3、扎实的3D、数学知识，并能将其运用到渲染效果创作中；
4、熟悉AAA级游戏中常见的渲染技术，并对某一领域有深入理解，比如全局光照、粒子、材质表现、性能优化
5、熟悉主流必要的编程语言之一：C++/C#，至少熟悉DirectX、OpenGL、Metal或者Vulkan中的一种图形API，并有很较强的shader编写能力
6、有一定debug和性能分析能力
职位招聘1人"
camera画质调试工程师（应届生2020年）,北京·朝阳区·望京,发布于01月25日,9-14K,在校/应届本科,Ontim,计算机软件已上市500-999人,视觉图像算法 图形图像处理 camera,"岗位职责：
1、Camera测试:独立完成Camera效果测试，包括主观、客观。
2、标准和用例:根据客户需求和市场反馈以及Camera光学技术的更新完善测试用例，规范测试标准。
3、现场技术支持：协助Camera调试同事做相关现场测试。

任职要求：
1、计算机图像处理、计算机、电子、光学或相关专业本科及以上学历；
2、具有一定的光学系统、图像质量指标等相关基础知识；
3、对图像效果有一定的敏感度，有一定的审美标准，热爱摄影；
4、有camera图像质量调试或者测试经验者优先；
5、五官端正，形象好，有测试经验者优先；
6、执行力强、沟通力强、工作仔细认真、责任心强、为人正直。
职位招聘4人"
算法工程师(J12503),北京,发布于03月16日,18-35K·15薪,在校/应届本科,明略科技,互联网D轮及以上1000-9999人,深度学习算法 自然语言处理 算法设计 机器学习算法,"工作职责:
1、 负责大规模数据场景下的数据挖掘分析建模工作
2、 用机器学习或知识图谱等AI技术为行业提供解决方案
3、 根据业务需求，负责机器学习算法模型或知识推理规则的业务落地和挖掘价值实现
4、负责基础算法库、建模工具和建模框架的开发工作，不断对已有算法、工具和框架进行优化，提升数据挖掘效率
任职要求：
1、 熟悉常用机器学习、深度学习等数据挖掘技术，了解不同模型的特性，理解相关数据挖掘算法，并能熟练使用主流的开源数据挖掘工具
2、熟练使用Python、Java、C++中至少一种语言，有实际建模经验者优先
3、对相关会议期刊和开源组织有所了解，在自然语言处理、信息检索、深度学习、运筹优化等学术领域有所贡献为佳
职位招聘5-10人"
应届毕业生 8千底薪 奖金+提成+提供住宿,北京·朝阳区·大望路,发布于04月01日,8-12K,在校/应届本科,北京麦田房产,地产经纪/中介不需要融资10000人以上,C++ Python Java 数据采集 数据库开发,"就要毕业了，应届毕业生是欣喜、兴奋；还是苦恼、迷茫呢？
你会因为未来的不确定而举步维艰吗？
你会因为家人的不理解而放弃梦想吗？
你会因为自己的不清晰而举棋不定吗？
还是会坚定着走自己的路……
在这个时候，麦田房产校园招聘启动啦！
在这里：不用因为没有经验而不敢尝试房产销售行业！
麦田房产邀约您以销售管培生的角色进入销售行业，由麦田大学将你培养成为优秀的房产经纪专家！
【如何被培养？】
1、岗前培训：麦田讲师团队为您讲解房产经纪理论知识。
2、超级培训：麦田新人三个月内接受不间断的公开课和区域培训。
3、实战演练：麦田销售菁英带你近距离接触业务实战。
4、经验分享：麦田老麦与你共同分享经验，让你借鉴别人的成功秘诀。
5、工作氛围：麦田房产将是您校园生活的延续，因为这里拥有一群爱学习、爱团结、爱激情、爱梦想的伙伴！
【如何被重用？】
1、无空降兵：麦田为你提供一个公开、公平、透明，没有天花板的竞争平台。
2、快速晋升：麦田为你提供明确的晋升标准与创业平台。
3、领导支持：麦田上级全力以赴的付出与支持为你排除一切工作障碍。
4、价值体现：麦田业绩不是唯一标准，价值全面体现才是麦田菁英。
【优越的薪酬】
本科：底薪8000元+提成（30%-60%）
专科：底薪6500元+提成（30%-60%）
带薪培训+全套保险（五险+商保）+带薪年假+麦基金+月冠奖励+团队奖励 +小组业绩团奖（培训期满6个月次月后）= 全公司近10000名置业专家平均月薪10000元以上。
【 就近分配】
北京店面遍布北京（东起四惠，北到上地，西至西山，南达亦庄，70个区域，400多家门店），任您选择工作地点。
【面试流程】
电话沟通合适，线上视频初试，门店复试，通过即可参加带薪培训。
职位招聘20-30人"
C++研发工程师（有落户名额）,北京,发布于03月18日,15-30K,在校/应届本科,新奥特,计算机软件已上市1000-9999人,C++ 音视频编解码 图形图像处理 音视频开发,"岗位职责：
1、熟练掌握C++、Qt编程语言
2、有音视频业务相关项目经验优先
任职要求：
1、21届毕业生，本科以上学历，硕士学历优先
2、能接受偶尔出差
职位招聘3-5人"
算法实习生,北京·海淀区·上地,发布于03月30日,200-250元/天,3天/周3个月本科,神州信息,计算机软件已上市1000-9999人,深度学习算法 汉化,"工作职责:
-参与金融行业AI开发平台的研发
-参与AI开发平台的工程化、汉化实现
职责要求:
-计算机相关专业背景，本科学历
-喜欢代码编程，源代码解读能力强
-英语能力较好，通过国家英语六级考试优先"
嵌入式开发工程师,北京·海淀区·中关村,发布于04月01日,10-15K·14薪,在校/应届本科,大恒图像,计算机软件不需要融资500-999人,深度学习算法 算法设计 机器学习算法 C++,"岗位要求：
1、电子、通信、自动化、计算机等相关专业，硕士学历，优秀本科亦可考虑；
2、熟练掌握C/C++/Python开发语言，具有良好的编程习惯；
3、熟悉Linux系统环境及常用指令；
4、具有ARM Linux应用软件的开发经验；
5、具有机器学习、深度学习基础和研发经验；
6、具备团队合作精神，有责任心，能够在压力下独立工作；
7、了解至少一种深度学习模型搭建工具（TensorFlow/Keras/PyTorch）者优先；
岗位职责：
1.负责相机视觉应用程序开发；
2.将相关AI算法在实际项目中落地；
3.参与算法平台搭建与模型训练；
职位招聘2-5人"
算法工程师(实习),北京·海淀区·西三旗,发布于03月09日,150-300元/天,4天/周3个月本科,饿了么,O2O不需要融资10000人以上,深度学习算法 搜索算法 广告算法 机器学习算法,"阿里本地生活-算法方向-实习生招聘
岗位部门：商业推广事业部
岗位名称：算法工程师
岗位职责：
1、负责阿里本地生活LBS场景定向广告中的DMP建设、广告受众建模、人群lookalike等；
2、负责到家、到店、整合营销等广告场景的业务探索和创新，在商户增长和流量效率两个方面共同提效，提升广告消耗；
3、负责文本创意中心建设工作，支持短信、push、广告会场等营销场景提效；
4、跟进业界技术发展，结合本地生活的业务特点，打造业界领先的算法和架构系统。
任职条件：
1、良好的团队合作精神和沟通能力；积极、主动、有高度的责任心；
3、工作踏实认真，具备优秀的逻辑思维能力，善于思考
4、有扎实的机器学习、模式识别、深度学习、NLP等理论基础
5、熟悉深度学习相关算法或者开源框架如 Tensorflow优先，有自然语言处理，机器学习、人工智能项目经验或者相关领域论文者优先
6、有一定编程能力，良好的英文文献阅读理解能力；
7，毕业时间：2021.11～2022.10
实习地点北京、上海、杭州均可，实习时间尽量不少于3个月，实习期过能力达标者有机会直接转正。"
路径规划&控制算法工程师,北京·海淀区·中关村,发布于05月29日,20-40K·14薪,在校/应届本科,上海高仙,智能硬件C轮500-999人,Matlab C++,"岗位职责：
1、将机器人自动驾驶算法、机器人控制算法等相关技术应用到实际产品中；
2、对现有产品的性能和架构进行改进以及新技术的研究与应用。
职位要求：
1、本科以上学历，计算机、控制、自动化等相关专业；
2、熟练掌握 C++及 STL；
3、熟悉 Linux 编程，了解操作系统的基本原理；
4、熟悉面向对象基本思想、了解常用设计模式；
5、善于编写可靠的高质量代码，善于编写内容丰富的文档；
6、工作细致，思维严谨，具有良好的表达能力、团队合作能力，具有较强的抗压能力。
加分项
1、熟悉状态机设计，熟悉 ROS；
2、有丰富的Planning&Control算法经验；
3、有非常好的工程能力和工程经验。"
图像算法工程师,北京·大兴区·马驹桥,发布于04月09日,10-15K,在校/应届本科,金风科技,计算机软件已上市1000-9999人,视觉图像算法 深度学习算法 Python 图像处理,"1、负责图像算法在实际业务中落地；
2、沟通业务需求，把实际需求转化为算法可解决的问题，搭建、训练及部署模型；
3、根据模型线上运行情况，更新迭代模型，提升模型性能。
要求
1、计算机相关专业，本科及以上学历（硕士优先）；
2、了解OpenCV等图像处理工具；
3、了解图像分类、目标检测、OCR、人脸识别等任务主流算法，包括但不限于Resnet，Faster-rcnn，SSD，Yolo等；
4、掌握python，熟练使用tensorflow、pytorch、MXNet等至少一种深度学习框架（掌握Django框架等后端基础知识者优先）；
职位招聘1-2人"
语音识别算法实习生,北京,发布于12月23日,150-200元/天,4天/周3个月本科,仙豆智能,互联网不需要融资500-999人,语音算法 深度学习算法 自然语言处理,"专业要求：计算机、通信、数学等相关专业
实习时间：实习时间最少3个月，每周4个工作日及以上
地点：北京
工作职责:
-参与语音识别声学模型相关算法的研究与开发；
-参与语音技术及产品相关的研发工作 (唤醒词、关键词识别、连续语音识别等)
-探索行业领先的研究成果，并将之用于产品和技术升级开发的实际过程中
任职要求:
-数学、计算机信号处理、通信工程相关专业硕士或博士；
-熟悉语音识别基本的算法和框架，满足以下至少一项者优先：
-熟悉语音识别常用算法框架 (如HMM，CTC，chain，LAS等)；
-熟悉常用开源工具，如Kaldi，CNTK，Paddle，caffe等；
-熟悉语音识别声学模型常用神经网络，如DNN，CNN，LSTM，BLSTM等；
-熟悉语音识别解码器基础算法，如Beam search，Token Passing等；
-熟悉C++/C/Python/Shell编程；
-有良好的理解、沟通和逻辑分析能力；
-学习能力强，积极主动，注重细节，做事耐心"
深度学习(实习),北京·海淀区·上地,发布于02月02日,300-500元/天,4天/周3个月本科,华为,计算机软件不需要融资10000人以上,深度学习算法 视觉图像算法 机器学习算法 人工智能,"目标对象：毕业时间在 2021-11-01 以后的海内外高校在读硕博，成绩优异，具有扎实的计算机视觉算法基础，动手能力强， 具备论文写作的能力；对华为的业务场景拥有浓厚兴趣。
1． 计算机相关专业硕士或博士，对机器学习及深度学习技术在视觉系统中的应用有研究兴趣，希望发表相关的顶会论文;
2． 熟练应用tensorflow/pytorch等深度学习框架，并能快速实现和调试自定义算法，有领域相关竞赛获奖可加分；
3． 加分项：有相关领域顶会（ICML/NIPS/ICLR/ICCV/CVPR/ECCV/...）论文发表经验者优先。
团队是华为旗下顶级人工智能研发团队，专注于计算机视觉、机器学习和深度学习等领域的技术研发，依托多年积累的技术经验与前沿技术探索，通过云+端的产品和行业解决方案，有效地解决各类业务问题。
实验室成员多数来自于清华、北大、中科院、浙大等顶级高校的博士、硕士，在CVPR，ECCV，ICCV，PAMI，AAAI，IJCAI等顶级会议期刊上发表过诸多论文，先后申请了近百项专利，具有深厚的学术研究背景和良好的工程实践能力。"
