name,address,update,wage,degree,company,company_info,tag,detail
语音算法工程师(实习),北京·海淀区·中关村,发布于11月12日,150-200元/天,3天/周3个月本科,汽车之家,互联网已上市1000-9999人,人工智能 深度学习算法 TTS ASR 语音识别,"职责描述：
前端降噪/ASR/TTS系统的算法研究与开发。
任职要求：
1、Python/shell/C/C++/Java至少会一种，熟悉Linux平台；
2、有语音信号处理相关经验；
3、有机器学习/深度学习相关经验。"
人工智能讲师(实习),北京,发布于03月18日,150-200元/天,5天/周6个月本科,旷视MEGVII,计算机服务D轮及以上1000-9999人,深度学习算法 视觉图像算法 Python C++,"深度学习教学实习生
岗位职责：
1. 在研究院AI高级研究员的指导下熟悉旷视深度学习流程；
2. 协助AI高级研究员进行深度学习课程的设计与迭代；
3. 参与旷视研究院技术、学术、工程实践等方面的研讨、演讲、培训，不断提升技术水平、教学能力。
岗位要求：
1. 细致耐心，一周到岗4天以上。
1. 在机器学习、深度学习、计算机视觉、人工智能等相关领域有一定基础，本硕均可；
2. 熟练使用一种或多种编程语言，如Python、C/C++、Java，有较强的算法和数据结构功底 ；
3. 良好的自我驱动能力、学习能力，对工作认真负责，踏实可靠；
4. 良好的语言逻辑表达能力与文档、ppt撰写能力；
5. 有教育理想愿意把自身经验技术传播给更多的人。"
name,address,update,wage,degree,company,company_info,tag,detail
算法工程师（北京校招）,北京·海淀区·北太平庄,发布于03月15日,15-20K,在校/应届本科,中华会计网校,在线教育不需要融资1000-9999人,深度学习算法 机器学习算法 Java 分布式技术,"岗位职责：
1、负责个性化推荐系统整体算法策略的设计与实现；
2、负责推荐线上排序系统的效果优化与迭代；
3、参与大规模分布式机器学习训练打分系统的探索与实现。
任职要求：
1、2020-2021届本科/硕士应届生，计算机相关专业；
2、熟悉Windows、Linux操作系统的维护操作；
3、了解Java，或C/C 语言及相关开发工具；
4、人品端正，能吃苦耐劳，踏实工作；
5、具有较强的团队合作精神，责任心强。
职位招聘1-5人"
机器学习平台开发实习生,北京·朝阳区·望京,发布于12月07日,250-350元/天,4天/周3个月本科,Mobvista,移动互联网已上市500-999人,c++ 后端,"我们是Mobvista机器学习平台工程研发团队，负责Mobvista集团的分布式机器学习训练、在线高性能模型预测等相关的平台工程建设。这里有百亿级的用户数据，十亿级的日活用户，和每天数百亿的在线广告精准定向请求。在这里你能够深度参与到大规模机器学习工程的研发工作中，驱动广告核心业务持续增长。
岗位职责：
1、负责公司的计算广告机器学习平台的工程开发；
2、负责高性能、大规模的集群分布式计算，包括但不限于集群资源调度、离线和流式计算、分布式机器学习框架和在线预测服务等核心技术的研发、调优；
3、服务公司效果广告算法等核心业务线。
任职资格：
1. 熟悉Linux编程环境，有良好的至少一门语言 (C++、Python、Java) 开发调试经验；
2. 有常用机器学习框架上手经验，如TensorFlow、MXNet、PyTorch、XGBoost等；
3. 对大数据开发相关技术，如hadoop、spark等有了解；
4. 思维敏捷，有较强的钻研学习能力，较好的沟通能力、团队合作 。"
算法工程师-实习生,北京·朝阳区·鸟巢,发布于03月09日,300-310元/天,4天/周4个月本科,京东集团,电子商务已上市10000人以上,自然语言处理 深度学习算法 Python C++,"工作内容：
1. 京东主搜十亿级商品召回、排序、NLP相关性、图像等算法的实现与优化
2. 搭建搜索算法应用平台
3. 通过对数据的分析、算法的优化，改进搜索用户体验、提升业务发展效率
岗位要求：
1. 计算机、数学、软件工程或相关专业。
2. 熟悉C++、Python等流行编程语言，编程能力强。
3. 具备扎实的数学、数据结构、算法基本功，具备优秀的学习能力。
4. 有扎实的c++基础优先（这个最加分，最好精通c语言），有acm比赛获奖优先，有搜索、推荐、广告经验优先，对深度文本匹配模型熟悉或有深度学习算法经验优先。"
图像算法工程师(实习),北京·海淀区·紫竹桥,发布于03月22日,120-180元/天,4天/周3个月本科,易车,互联网已上市1000-9999人,视觉图像算法 深度学习算法 Python 人工智能,"1. 人脸检测识别
2. OCR
3. 行人检测
4. 多目标跟踪
5. 图像识别服务开发与部署"
图像实习生,北京·朝阳区·望京,发布于03月26日,200-250元/天,5天/周3个月本科,北京新氧万维,互联网已上市1000-9999人,视觉图像算法 C++ Python 图像处理 人脸识别,"岗位职责：
1、协助或独立进行人脸识别、图像语义分割、图像生成、目标检测定位等视觉算法模型研发。
2、关注行业技术发展动态，前沿技术调研、应用创新。
3、团队工作协作及部门安排的其他工作。
任职要求：
1、掌握数字图像处理相关知识，图像、计算机、数学、通信、测绘、遥感、仿真等与图像方向相关的理工科专业。
2、本科以上学历。
3、熟练使用python、c/c++等经程语言的一种，熟悉linux常见操作。
4、熟悉图像编程，熟悉opencv，pytorch，TensorFlow等框架。
5、有神经网络优化、模型加速、深度学习框架应用实践，或概率论、高数、线性代数、数理统计能力者突出者优先考虑。
6、执行力强，效率高，有团队协作精神及大局观，积极乐观，有抗压能力。"
软件工程师-自然语言处理方向,北京·朝阳区·安贞,发布于03月22日,15-25K·18薪,在校/应届本科,龙湖集团,工程施工已上市10000人以上,自然语言处理 深度学习算法 搜索算法,"工作职责：
1、研发NLP基础词句、篇章语法与语义分析算法，包括但不限于分词、词性标注、命名实体识别、依存分析、语义角色标注、情感分析、主题模型等；
2、运用NLP与机器学习算法开发文本挖掘、信息抽取、预测分析、阅读理解等高级功能；
3、运用NLP与机器学习算法领域相关项目开发，如对话系统、检索系统、知识图谱等，并根据不同的产品属性进行算法的优化；
4、NLP前沿算法跟进与研发。
任职要求：
1、本科及以上学历， 计算机、软件工程、机器学习、应用数学、模式识别、人工智能等相关专业；
2、热爱计算机科学和开发技术，对算法有浓厚兴趣；
3、有NLP中的文本分类、信息抽取等任务经验；
4、熟悉深度学习基础知识和NLP领域经典网络模型；
5、有学术比赛经验以及发表过顶会论文者优先。
培养计划：
龙湖数字科技（digital technology）仕官生是龙湖仕官生招聘的新成员。随着龙湖数字科技的成长成熟，越来越多国内外精英学子成为龙湖仕官生，在龙湖广泛的应用场景中磨炼本领、快速成长。从业务一线到数据支撑决策，从客户洞察、数据赋能到空间制造和管理，龙湖数字科技不仅仅为其仕官生提供丰富的应用场景、广阔的成长空间、完善的培养体系，更旨在将仕官生培养成为业内最为璀璨的数字化人才。"
多模态算法研究员,北京·海淀区·五道口,发布于04月12日,20-35K·15薪,在校/应届本科,搜狗,互联网已上市1000-9999人,深度学习算法 自然语言处理 视觉图像算法,"工作职责：
1. 负责多模态内容理解、图像理解以及nlp相关的工作，应用图像和nlp技术，提升搜索的效果和体验；
2. 负责包括但不限于大规模预训练模型、用户数据挖掘、网页质量评估、embedding抽取，持续优化并时刻保持技术先进性，将业界SOTA模型落地并改进以获取业务线上收益；
3. 紧密关注相关领域业界的最新进展，并负责在在搜索业务的落地应用。
任职要求：
1、计算机相关专业，扎实的编程基础，熟练使用python和c++；熟悉深度学习训练平台，如pytorch、tensorflow；熟悉深度学习模型加速框架，如tensorRT。
2、熟悉常见的CV或NLP深度学习模型及其应用方法，如CNN、RNN、LSTM、transformer；熟悉NLP或CV预训练方法和模型、紧跟NLP前沿技术。
3、精通图像或NLP算法领域基础知识并在至少一个领域有深入研究和落地经验，包括但不仅限于图像分类、目标检测、人脸识别、文本语义计算、实体识别、文本分类、机器翻译算法等；
4、熟悉大规模分布式训练框架，如deepspeed、Megatron-LM优先。
5、具备较强的分析能力，能够结合业务场景快速建模和设计算法，分析算法的不足并提出解决方案。
职位招聘1-3人"
医疗文本NLP实习生,北京·海淀区·牡丹园,发布于03月26日,200-240元/天,4天/周3个月本科,医渡云,互联网已上市1000-9999人,自然语言处理 Python,"NLP方向实习生
岗位描述
在指导下参与医疗文本数据处理、NLP问题建模与实验。
需求
1. 必须：计算机相关专业本科高年级或研究生，每周4天以上参与实习工作，至少持续3个月。要求能够来公司（北京）现场实习。
2. 必须：至少掌握NLP领域BERT模型的原理和使用方法，有使用中文BERT搭建实验的实际经验。
3. 必须：具备Python开发调试能力，掌握正则表达式。具备根据问题设计实现程序的能力，在校学习期间可以独立完成算法、数据结构、程序设计类课程大作业
4. 必须：良好的论文阅读能力，具备学习新知识的意愿和能力。
5. 加分项：
a) Github/stackoverflow/知乎/CSDN 等社区或公开活动的代码项目或发表的文章
b) 熟悉Linux shell环境常用操作
c) 掌握Hadoop/HIVE/SPARK的原理和使用
d) git使用经验
e) 掌握常见统计机器学习算法"
自然语言处理实习生,北京,发布于03月08日,200-250元/天,4天/周3个月本科,映客直播,移动互联网已上市1000-9999人,深度学习算法 推荐算法,"岗位职责:
1、结合特征工程和深度学习技术进行文本挖掘；
2、自然语言模型预训练和微调；
3、深度学习系统的调试调参和模型架构创新。
任职要求:
1、研究生及以上统计、数学、计算机等相关专业学历，至少能实习3个月以上，表现优秀offer优先；
2、有深度学习框架的使用经验，包括Tensorflow和Pytorch
4、对Transformer等最新神经网络架构有深入了解，发表过NLP、深度学习相关论文者优先
5、有NLP实习经验优先"
阿里妈妈广告算法工程师,北京·朝阳区·望京,发布于03月23日,26-35K·16薪,在校/应届本科,阿里巴巴公司,电子商务已上市10000人以上,深度学习算法 广告算法 推荐算法 搜索算法 C++,"工作职责
1.负责广告系统中推荐、机制、博弈、拍卖的算法创新。
2.帮助商家完成全领域营销。
3.支撑阿里定向广告收入的高速增长。
职位描述
1.计算机、数学、电子工程、通信、人工智能等相关专业。
2.熟悉常用的机器学习算法，对算法原理有较深理解。
3.对技术有强烈的兴趣，关注前沿技术，善钻研，具有良好的学习、沟通能力；
4.具备良好的沟通协作能力、较强责任感和持续的自驱力。
团队介绍
团队有丰富的业务场景，业务规模加速发展中。全技术栈都有深入发展空间，团队有定期的技术分享，技术成果能持续沉淀为顶会论文。渴求不同特性的同学加入到我们的大团队中，共同进行工程实践、业务实践、算法实践，驱动商业新发展。
职位招聘5-8人"
视频研发工程师(实习),北京·海淀区·北下关,发布于01月05日,120-170元/天,4天/周4个月本科,经纬公司(铁科院),交通/运输已上市10000人以上,流媒体技术 音视频开发 图形图像处理 C++ Java,"1、开展视频智能分析产品的试验。
2、部署调试视频监控系统软件。
3、配合现场实施提供远程技术支持。
4、完成科研课题的相关原型系统研发、试验，编写相关技术报告。"
算法工程师（实习生）,北京·海淀区·人民大学,发布于04月12日,150-200元/天,4天/周3个月本科,北京趣拿科技有限公司,互联网不需要融资1000-9999人,深度学习算法,"工作职责:
1、参与搜索排序、广告策略前沿算法的研究与系统开发
2、通过数据、算法分析挖掘业务潜在提升点
任职资格：
1、本科及以上学历，计算机、数学等相关专业
2、至少熟悉Python，Java中一门编程语言
3、熟悉深度学习算法，能熟练使用Tensorflow
4、具有快速的学习能力
5、具有较强的文献收集能力，有良好的英文阅读能力，有顶会（刊）论文者优先"
算法工程师(实习),北京·东城区·和平里,发布于02月18日,200-300元/天,4天/周3个月本科,鹏博士,通信/网络设备已上市10000人以上,深度学习算法 金融 视觉图像算法 Python,"深度学习，金融领域、音视频、图像等等都可以。最好能够是是985/211院校或海外知名院校，算法/数学/编程水平好的同学可以进行条件上的放宽。
每周工作时间可以调整，可以远程办公或者是公司办公。
可以转正。"
算法实习生,北京·朝阳区·三元桥,发布于03月30日,300-400元/天,5天/周3个月本科,诺信创联,医疗健康C轮500-999人,机器学习算法 Python SQL 数据挖掘 数据开发,"1、深入业务场景，利用全站多维数据，综合运用统计和数据挖掘/机器学习的方法，探索平台新的业务增长点，为各类业务系统提供特征和模型支撑
2、深度参与归因分析、异常检测等专题类建设工作。
职位要求：
1、统招本科或以上学历，数学，统计，计算机相关专业，硕士生优先；
2、具有较好的算法基础，灵活使用Python/SQL；
3、正直诚信、有责任感、工作积极、善于沟通，有独立探索解决问题的能力。"
算法工程师(实习),北京·朝阳区·呼家楼,发布于03月09日,150-300元/天,4天/周3个月本科,阿里巴巴,互联网C轮10000人以上,Java 深度学习算法 推荐算法 视觉图像算法,"内推联系方式 *****
我们团队是做算法，有想做算法的同学可以直接联系我，部门同时其他岗位也都有 HC 可以推荐。
以下为 template
[蚂蚁集团-蚂蚁保险] 春招正式开放！ Java 、前端、算法、测试，岗位多多，真·海量 HC ！
-- 我们是谁 --
我们是蚂蚁保险事业群，是蚂蚁集团的下一代增长发动机。我们拥有相互宝，智能理赔大脑等等业界领先产品，业务同时涵盖了人身险、财险等多个险种领域。作为保险行业革新的引领者，我们致力于通过智能技术解决行业痛点问题，努力通过技术革新为世界带来小而美的改变。
-- 为什么选择我们 --
机遇挑战多：在这里，你能接触到业界最前沿的技术，最丰富的业务场景，最完备的基础设施，以技术创新为业务赋能，机会无处不在，互联网保险的蓝海，等你来挑战！
HC 额度足：一对一推荐，真·海量 HC （超多超多超多）！业务发展很快，所以贼缺人，面试标准没其他 BU 那么难。只要你足够优秀，就算招聘只剩最后一天我们也为你占到坑位！
转正几率大：往年实习生接近全部转正！
团队氛围好：我们有来自中科大、复旦、南大、浙大、华东师范等等高校的学长学姐，亲自带你 landing ！我们有丰富多彩的团建活动：聚餐，k 歌，射箭，冰壶，皮划艇~我们的宗旨是：既要快乐工作，也要认真生活！"
AI算法实习生,北京,发布于10月17日,260-500元/天,3天/周3个月本科,中国电信北研院,通信/网络设备不需要融资1000-9999人,视觉图像算法 自然语言处理 Python TensorFlow,"招聘对象：在校学生，可远程实习。
只要有能力并对AI感兴趣，我们都十分欢迎你。
你能得到什么：
1、工作：可观的薪水、全面的福利，优质的办公环境下，丰富的AI项目等着你，满满的实践工作经验等你来获取，优秀的应届同学可解决户口；
2、通勤：班车遍布北京，涉及各大高校，方便又快捷，不用为上下班的通勤而烦恼；
3、生活：自助餐厅美食任你吃，健身房设备齐全环境好，运动场散步打球都可以，助你劳逸结合身心全面发展。
你来做什么:
在模型压缩与量化、目标检测与追踪、自然语言处理与对话系统等领域进行研发；
你需要具备什么:
1、具备扎实的C++和Python编程能力；熟悉Linux开发环境，掌握git或SVN等工具；
2、对以下任一方向有实际项目经验：人脸识别，目标检测，图像分割，图像超分辨率；
3、对深度学习有着自己较深的理解，对模型量化、压缩有一定研究。熟练掌握Tensorflow、PyTorch、Keras等深度学习框架的其中一种，掌握onnx，ncnn等模型转换能力的更佳；
4、具备扎实的数理基础与英文科技文献阅读能力；
5、具备独立的工作能力同时能与团队融洽合作相处，能够做到严谨、乐观、乐于奉献。
加分项：
Kaggle等比赛成绩优异；
有实际成果并发表在国际顶级会议、期刊；
有在国际权威数据集上提交过结果并取得优异成绩；"
腾讯PCG大搜算法实习生,北京·海淀区·西北旺,发布于03月09日,400-800元/天,4天/周3个月本科,腾讯,互联网已上市10000人以上,深度学习算法 自然语言处理 搜索算法 Python,"[岗位名称] 腾讯PCG大搜 实习生
[团队介绍]：亿级日活搜索业务的核心算法团队，负责复杂场景下的搜索排序。
[岗位职责]
负责搜索全流程的持续优化，包含query理解、召回、排序等工作
[岗位要求]
有nlp、搜索引擎、推荐系统或广告系统相关经验；
熟悉机器学习/数据挖掘/信息检索/深度学习/神经网络的算法原理；
熟悉GBDT/LTR等排序算法以及BERT/ESIM/DSSM/Wide&Deep/等深度模型，有TensorFlow开发经验者优先；
熟悉自然语言处理的常见算法原理；
熟悉C++、Python、Scala、Java等编程语言（一项或多项）；"
图像识别(实习),北京·海淀区·马连洼,发布于11月23日,150-200元/天,4天/周2个月本科,滴滴出行,移动互联网D轮及以上1000-9999人,视觉图像算法 嵌入式技术 深度学习算法 C++,"1. 依托桔视海量数据，进行adas算法迭代
2. 能够根据产品需求进行算法设计和优化
3. 计算机视觉算法在实际应用领域的性能优化
4. 熟练掌握计算机视觉和图像处理的基本算法
5. 有有Android客户端或者手机/嵌入式开发经验者优先"
算法工程师（2021应届）,北京·海淀区·人民大学,发布于03月31日,15-20K·16薪,在校/应届本科,途家网,互联网D轮及以上500-999人,深度学习算法 视觉图像算法 自然语言处理 算法设计,"职位描述：
1、参与图片相似度、图片质量分、图片判重等相关项目的建模与工程落地；
2、参与相似房屋匹配算法的优化，结合业务需求持续改进模型性能；
3、参与图像算法模型的优化迭代，提升算法效率。
职位要求：
1、本科及以上学历，计算机、机器学习、图像算法等相关专业；
2、理解机器学习基本原理，熟悉TensorFlow/PyTorch/MXNet一个或者多个深度学习框架；
3、有较强的编码实现能力，熟练掌握Python/Java/C++一门编程语言，熟悉Linux开发；
4、熟悉基于深度学习的物体检测/识别/分割相关算法，有图片相似度、图片质量分、图片判重、图像目标检测项目经验；
5、有对话问答系统、知识图谱、内容理解等NLP相关项目经验优先。
职位招聘1人"
语音识别算法工程师,北京·朝阳区·望京,发布于10月21日,10-15K·16薪,在校/应届本科,陌陌,移动互联网已上市1000-9999人,语音算法 深度学习算法 Python,"岗位职责：
1、 负责语音识别等相关算法的研究和产品开发，包括语音前端处理/声学模型/语言模型等；
2、 负责音频信号处理等相关算法的研究和产品开发，包括语音合成/语音增强/音频内容分析/音乐检索等；
3、 负责深度学习在语音识别/音频信号处理等方向的前沿技术探索研究。
岗位要求：
1、 2021年应届毕业生，熟悉语音识别/音频信号处理等相关算法和应用，有声学背景知识，WFST实现和优化经验者优先；
2、 良好的算法实现和工程能力，熟练掌握C/C++、Python等至少一门语言；
3、 在模式识别等国际顶级会议，有学术论文发表者优先，相关权威比赛优异成绩者优先。"
音视频处理工程师,北京·朝阳区·望京,发布于03月25日,15-30K,在校/应届本科,一点资讯,移动互联网D轮及以上500-999人,音视频编解码 流媒体技术 数据结构 Python Java,"工作职责：
1、负责内容中台视频直播、视频转码、直播编解码等视频相关设计与研发工作；
2、解决视频、流媒体技术中的遇到的难点与关键问题；
3、主动学习及研究网络视频通信的应用创新与技术实现；
岗位要求：
1、有一定的音视频相关技术的基础；
2、熟悉Linux平台，熟练掌握C/Java/Python等至少一种编程语言，对数据结构和算法设计有较为深刻的理解；
3、熟悉FFmpeg的使用和二次开发；
4、熟悉MP4、Flv、m3u8、ts等文件格式的解析；
5、熟悉RTMP、RTP、RTCP、RTSP、HLS等流媒体协议；
加分项
1、满足以下一种技术栈, 满足两项优先考虑
1）熟悉RTMP/HTTP/TCP/等网络通信协议,有Socket网络编程经验
2）熟悉H5上的音视频的播放和处理,对WebGL有一定了解
3）熟悉Android/iOS上的音视频的播放和处理,对OpenGL有一定了解
2、对视频缩放和裁剪和滤镜处理有丰富经验者优先
职位招聘2-5人"
视觉感知算法工程师 实习生,北京·海淀区·五道口,发布于昨天,300-600元/天,4天/周5个月本科,魔门塔科技,计算机软件C轮500-999人,深度学习算法 Python PyTorch TensorFlow,"核心诱惑：
了解完全无人驾驶工作流程，了解量产无人驾驶L3与完全无人驾驶L4如何落地。
岗位职责：
1.检测，分类等模块的设计与实现，follow学术界最新进展。爆火的transformer我们已经用上了。
2.根据业务最新要求，设计实验，完成实验，优秀成果可集成部署在自动驾驶车上进行路测。
岗位要求：
1. 熟练使用Python，能基于Pytorch或者Tensorflow快速搭建实验，验证核心假设。
2. 对数据敏感，能分析数据中的问题，能根据badcase分析模型问题。
福利:免费三餐，健身房。高时薪:30/h*绩效(1-2.5)
1、团队成员背景介绍：
我们是Momenta L4 Perception团队。
团队成员来自清华、中科院、中科大、浙大、武大、北航等名校硕博士，在计算机视觉和机器人顶会顶刊上有较多发表研究工作的经验和成果；
研究方向和技术背景丰富，涉及视觉、Lidar、4D Radar和多传感器融合。技术点包括检测、分割、跟踪、时序识别 等，深度学习经验丰富，同时会涉及加速部署等工程方向；
团队成员曾获得过多项国内外重要比赛冠军，如 COCO Panoptic Segmentation Challenge、COCO Keypoint Challenge 等。
2、具体研究方向：
2.1 视觉感知的研究方向：
- 自动化3D真值标注；
- 视觉3D算法研发；
- 基于多相机的障碍物位置、速度估计算法研发；
- 红绿灯检测、跟踪和时序识别，包含有高精地图方案和无地图方案，夜间方案。
2.2 Lidar感知研究方向：
- 数据获取及标注优化，自动化标注平台研发；
- Lidar 3d 检测、分割、跟踪；
- 模型加速、量化等部署上的工程优化。
2.3 4D Radar研究方向：
- 基于Radar多普勒Tensor开发基于深度学习的目标检测和跟踪算法。
2.4 多传感器融合研究方向：
- 基于深度学习的，相机、Radar、Lidar的通用融合算法研发；
- 负责公司多个量产项目的多传感器感知方案交付。
3、发展前景和培养机制
3.1 发展前景：
跟踪学术前沿，与学术大牛一起工作，面对面地思想碰撞；
深入了解自动驾驶Perception算法的落地场景及核心问题，了解工业界Perception的研发pipeline及发展方向。
鼓励团队成员思考自动驾驶本质需求、提出新的观点和做法。
3.2 培养机制：
大牛导师：一对一导师（Mentor）制和自动驾驶领域多位研发专家的双重指导；
挑战难题：直接参与Momenta富有挑战性的核心项目，配置人工智能平台海量数据及数千块GPU资源，解决独具中国特色的真实场景道路难题；
PaperReading及技术分享：小组内定期的论文讲解及深入学习。"
算法实习生,北京·海淀区·马连洼,发布于03月30日,200-300元/天,3天/周3个月本科,滴滴,移动互联网D轮及以上1000-9999人,机器学习算法 深度学习算法 Python Go,"一、网约车策略与技术部介绍：
网约车策略与技术部致力于将大数据和人工智能技术应用于出行场景，通过不断挑战世界级难题，持续探索和拓展技术边界，引领科技变革，重塑用户出行方式，让用户的出行更加安全、舒适、便捷和高效。 构建了世界最大的智能调度和拼车平台， 提升出行效率和体验； 打造了智能价格体系，优化乘客价格体验，保障司机收入，加速出行行业的价格市场化；探索并实践公平合理的司乘规则，对司机和乘客的行为进行正向引导，营造良好的司乘生态； 挖掘海量数据，洞察用户需求，拓展业务空间，树立数据驱动的实践典范。
二、 招聘岗位
算法工程师
三、岗位职责：
1. 以数据驱动的方式，应用机器学习／运筹学等技术提高交易引擎效率及平台用户体验；
2. 参与公司交易引擎策略设计，包括运力调度 / 司机热力图 等核心算法的设计与开发；
3. 负责结合业务需求，基于人工智能算法进行建模和适配的工作，以获得业务产出、内部专利、论文发表等。
四、任职资格：
1. 计算机／控制／EE／数学等相关专业本科以上学历；
2. 优秀的算法／模型/数据分析 基础；有运筹学／强化学习／在线学习 等背景优先考虑；
3. 良好的Python/golang等工程实现能力；
4. 扎实的数学基础，包括概率／统计／代数 / 优化等；
5. 思维严谨，逻辑清晰；自驱、乐观、团队合作精神"
